order_id,unit_price,quantity,discount,whole_cost,discount_cost,customer_id,order_day,order_month,order_year,required_date,shipped_day,shipped_month,shipped_year,ship_via,freight,ship_name,ship_country,ship_address,employee_id,name,last_name,first_name,birth_day,birth_month,birth_year,hire_day,hire_month,hire_year,address,city,region,postal_code,country,employee_phone,emp_address,product_name,supplier_id,category_name,quantity_per_unit,units_in_stock,units_on_order,reorder_level,discontinued,product_in_stock_cost,product_order_cost
10348,7.20,25,0.00,180,180,METHCAPITALS,11,7,1996,METHDATE,11,15,1996,United_Package,$0.78,Die Wandernde Kuh,Germany,Adenauerallee 900 Stuttgart 70563 Germany,4,Peacock Margaret,Peacock,Margaret,9,19,1958,5,3,1993,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,4110 Old Redmond Rd. Redmond WA 98052 USA,Tunnbröd,9,grains_cereals,12 - 250 g pkgs.,61,0,25,no,439.2,0
10349,5.90,24,0.00,141.6,141.6,METHCAPITALS,11,8,1996,METHDATE,11,15,1996,Speedy_Express,$8.63,Split Rail Beer &amp; Ale,USA,P.O. Box 555 Lander 82520 USA,7,King Robert,King,Robert,5,29,1960,1,2,1994,Winchester Way,London,,RG1 9SP,UK,(71) 555-5598,Winchester Way London  RG1 9SP UK,Tourtière,25,meat_poultry,16 pies,21,0,10,no,123.9,0
10350,28.80,18,0.10,518.4,466.56,METHCAPITALS,11,11,1996,METHDATE,12,3,1996,United_Package,$64.19,La maison d'Asie,France,1 rue Alsace-Lorraine Toulouse 31000 France,6,Suyama Michael,Suyama,Michael,7,2,1963,10,17,1993,Miner Rd.,London,,EC2 7JR,UK,(71) 555-7773,Miner Rd. London  EC2 7JR UK,Gudbrandsdalsost,15,dairy_products,10 kg pkg.,26,0,15,no,748.8,0
10351,16.80,10,0.05,168,159.6,METHCAPITALS,11,11,1996,METHDATE,11,20,1996,Speedy_Express,$162.33,Ernst Handel,Austria,Kirchgasse 6 Graz 8010 Austria,1,Davolio Nancy,Davolio,Nancy,12,8,1968,5,1,1992,Apt. 2A,Seattle,WA,98122,USA,(206) 555-9857,Apt. 2A Seattle WA 98122 USA,Louisiana Fiery Hot Pepper Sauce,2,condiments,32 - 8 oz bottles,76,0,0,no,1276.8,0
10352,5.90,20,0.15,118,100.3,METHCAPITALS,11,12,1996,METHDATE,11,18,1996,Federal_Shipping,$1.30,Furia Bacalhau e Frutos do Mar,Portugal,Jardim das rosas n. 32 Lisboa 1675 Portugal,3,Leverling Janet,Leverling,Janet,8,30,1963,4,1,1992,722 Moss Bay Blvd.,Kirkland,WA,98033,USA,(206) 555-3412,722 Moss Bay Blvd. Kirkland WA 98033 USA,Tourtière,25,meat_poultry,16 pies,21,0,10,no,123.9,0
10353,210.80,50,0.20,10540,8432,METHCAPITALS,11,13,1996,METHDATE,11,25,1996,Federal_Shipping,$360.63,Piccolo und mehr,Austria,Geislweg 14 Salzburg 5020 Austria,7,King Robert,King,Robert,5,29,1960,1,2,1994,Winchester Way,London,,RG1 9SP,UK,(71) 555-5598,Winchester Way London  RG1 9SP UK,Côte de Blaye,18,beverages,12 - 75 cl bottles,17,0,15,no,3583.6,0
10354,99.00,4,0.00,396,396,METHCAPITALS,11,14,1996,METHDATE,11,20,1996,Federal_Shipping,$53.80,Pericles Comidas clásicas,Mexico,Calle Dr. Jorge Cash 321 México D.F. 05033 Mexico,8,Callahan Laura,Callahan,Laura,1,9,1958,3,5,1994,4726 - 11th Ave. N.E.,Seattle,WA,98105,USA,(206) 555-1189,4726 - 11th Ave. N.E. Seattle WA 98105 USA,Thüringer Rostbratwurst,12,meat_poultry,50 bags x 30 sausgs.,0,0,0,yes,0,0
10355,15.60,25,0.00,390,390,METHCAPITALS,11,15,1996,METHDATE,11,20,1996,Speedy_Express,$41.95,Around the Horn,UK,Stratford St. Mary Colchester CO7 6JX UK,6,Suyama Michael,Suyama,Michael,7,2,1963,10,17,1993,Miner Rd.,London,,EC2 7JR,UK,(71) 555-7773,Miner Rd. London  EC2 7JR UK,Ravioli Angelo,26,grains_cereals,24 - 250 g pkgs.,36,0,20,no,561.6,0
10356,28.80,20,0.00,576,576,METHCAPITALS,11,18,1996,METHDATE,11,27,1996,United_Package,$36.71,Die Wandernde Kuh,Germany,Adenauerallee 900 Stuttgart 70563 Germany,6,Suyama Michael,Suyama,Michael,7,2,1963,10,17,1993,Miner Rd.,London,,EC2 7JR,UK,(71) 555-7773,Miner Rd. London  EC2 7JR UK,Gudbrandsdalsost,15,dairy_products,10 kg pkg.,26,0,15,no,748.8,0
10357,27.20,8,0.20,217.6,174.08,METHCAPITALS,11,19,1996,METHDATE,12,2,1996,Federal_Shipping,$34.88,LILA-Supermercado,Venezuela,Carrera 52 con Ave. Bolívar #65-98 Llano Largo Barquisimeto 3508 Venezuela,1,Davolio Nancy,Davolio,Nancy,12,8,1968,5,1,1992,Apt. 2A,Seattle,WA,98122,USA,(206) 555-9857,Apt. 2A Seattle WA 98122 USA,Camembert Pierrot,28,dairy_products,15 - 300 g rounds,19,0,0,no,516.8,0
10358,15.20,20,0.05,304,288.8,METHCAPITALS,11,20,1996,METHDATE,11,27,1996,Speedy_Express,$19.64,La maison d'Asie,France,1 rue Alsace-Lorraine Toulouse 31000 France,5,Buchanan Steven,Buchanan,Steven,3,4,1955,10,17,1993,14 Garrett Hill,London,,SW1 8JR,UK,(71) 555-4848,14 Garrett Hill London  SW1 8JR UK,Inlagd Sill,17,seafood,24 - 250 g  jars,112,0,20,no,1702.4,0
10359,27.20,80,0.05,2176,2067.2,METHCAPITALS,11,21,1996,METHDATE,11,26,1996,Federal_Shipping,$288.43,Seven Seas Imports,UK,90 Wadhurst Rd. London OX15 4NB UK,5,Buchanan Steven,Buchanan,Steven,3,4,1955,10,17,1993,14 Garrett Hill,London,,SW1 8JR,UK,(71) 555-4848,14 Garrett Hill London  SW1 8JR UK,Camembert Pierrot,28,dairy_products,15 - 300 g rounds,19,0,0,no,516.8,0
10360,5.90,28,0.00,165.2,165.2,METHCAPITALS,11,22,1996,METHDATE,12,2,1996,Federal_Shipping,$131.70,Blondel père et fils,France,"24, place Kléber Strasbourg 67000 France",4,Peacock Margaret,Peacock,Margaret,9,19,1958,5,3,1993,4110 Old Redmond Rd.,Redmond,WA,98052,USA,(206) 555-8122,4110 Old Redmond Rd. Redmond WA 98052 USA,Tourtière,25,meat_poultry,16 pies,21,0,10,no,123.9,0
10361,27.20,55,0.10,1496,1346.4,METHCAPITALS,11,22,1996,METHDATE,12,3,1996,United_Package,$183.17,QUICK-Stop,Germany,Taucherstraße 10 Cunewalde 01307 Germany,1,Davolio Nancy,Davolio,Nancy,12,8,1968,5,1,1992,Apt. 2A,Seattle,WA,98122,USA,(206) 555-9857,Apt. 2A Seattle WA 98122 USA,Camembert Pierrot,28,dairy_products,15 - 300 g rounds,19,0,0,no,516.8,0
