ifqqgbmi,podijzmh,gdbtgkhq,olpskbfk,iyxuviig,glmvgeyj,vsjkyyyf,jiqkjhnn
A-C71970F,Aria,,Cruz,10,87,1389,1991-10-26 00:00:00
A-R89858F,Annette,,Roulet,6,152,9999,1990-02-21 00:00:00
AMD15433F,Ann,M,Devon,3,200,9952,1991-07-16 00:00:00
ARD36773F,Anabela,R,Domingues,8,100,877,1993-01-27 00:00:00
CFH28514M,Carlos,F,Hernadez,5,211,9999,1989-04-21 00:00:00
CGS88322F,Carine,G,Schmitt,13,64,1389,1992-07-07 00:00:00
DBT39435M,Daniel,B,Tonini,11,75,877,1990-01-01 00:00:00
DWR65030M,Diego,W,Roel,6,192,1389,1991-12-16 00:00:00
ENL44273F,Elizabeth,N,Lincoln,14,35,877,1990-07-24 00:00:00
F-C16315M,Francisco,,Chang,4,227,9952,1990-11-03 00:00:00
GHT50241M,Gary,H,Thomas,9,170,736,1988-08-09 00:00:00
H-B39728F,Helen,,Bennett,12,35,877,1989-09-21 00:00:00
HAN90777M,Helvetius,A,Nagy,7,120,9999,1993-03-19 00:00:00
HAS54740M,Howard,A,Snyder,12,100,736,1988-11-19 00:00:00
JYL26161F,Janine,Y,Labrune,5,172,9901,1991-05-26 00:00:00
KFJ64308F,Karin,F,Josephs,14,100,736,1992-10-17 00:00:00
KJJ92907F,Karla,J,Jablonski,9,170,9999,1994-03-11 00:00:00
L-B31947F,Lesley,,Brown,7,120,877,1991-02-13 00:00:00
LAL21447M,Laurence,A,Lebihan,5,175,736,1990-06-03 00:00:00
M-L67958F,Maria,,Larsson,7,135,1389,1992-03-27 00:00:00
M-P91209M,Manuel,,Pereira,8,101,9999,1989-01-09 00:00:00
M-R38834F,Martine,,Rance,9,75,877,1992-02-05 00:00:00
MAP77183M,Miguel,A,Paolino,11,112,1389,1992-12-07 00:00:00
MAS70474F,Margaret,A,Smith,9,78,1389,1988-09-29 00:00:00
MFS52347M,Martin,F,Sommer,10,165,736,1990-04-13 00:00:00
MGK44605M,Matti,G,Karttunen,6,220,736,1994-05-01 00:00:00
MJP25939M,Maria,J,Pontes,5,246,1756,1989-03-01 00:00:00
MMS49649F,Mary,M,Saveley,8,175,736,1993-06-29 00:00:00
PCM98509F,Patricia,C,McKenna,11,150,9999,1989-08-01 00:00:00
PDI47470M,Palle,D,Ibsen,7,195,736,1993-05-09 00:00:00
PHF38899M,Peter,H,Franken,10,75,877,1992-05-17 00:00:00
PMA42628M,Paolo,M,Accorti,13,35,877,1992-08-27 00:00:00
POK93028M,Pirkko,O,Koskitalo,10,80,9999,1993-11-29 00:00:00
PSA89086M,Pedro,S,Afonso,14,89,1389,1990-12-24 00:00:00
PSP68661F,Paula,S,Parente,8,125,1389,1994-01-19 00:00:00
PTC11962M,Philip,T,Cramer,2,215,9952,1989-11-11 00:00:00
PXH22250M,Paul,X,Henriot,5,159,877,1993-08-19 00:00:00
R-M53550M,Roland,,Mendel,11,150,736,1991-09-05 00:00:00
RBM23061F,Rita,B,Muller,5,198,1622,1993-10-09 00:00:00
SKO22412M,Sven,K,Ottlieb,5,150,1389,1991-04-05 00:00:00
TPO55093M,Timothy,P,O'Rourke,13,100,736,1988-06-19 00:00:00
VPA30890F,Victoria,P,Ashworth,6,140,877,1990-09-13 00:00:00
Y-L77953M,Yoshi,,Latimer,12,32,1389,1989-06-11 00:00:00
