discounttype,stor_id,lowqty,highqty,discount,stor_name,stor_address,city_x,state_x,zip_x,ord_num,ord_date,qty,payterms,title_id,title,type,pub_id,price,advance,royalty_x,ytd_sales,notes,pubdate,lorange,hirange,royalty_y,au_id,au_ord,royaltyper,au_lname,au_fname,phone,address,city_y,state_y,zip_y,contract,pub_name,city,state,country,pr_info,emp_id,fname,minit,lname,job_id,job_lvl,hire_date,job_desc,min_lvl,max_lvl
Initial Customer,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volume Discount,,100.0,1000.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,341-22-1782,,,Smith,Meander,913 843-0462,10 Mississippi Dr.,Lawrence,KS,66044.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,527-72-3246,,,Greene,Morningstar,615 297-2723,22 Graybar House Rd.,Nashville,TN,37215.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,724-08-9931,,,Stringer,Dirk,415 843-2991,5420 Telegraph Av.,Oakland,CA,94609.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,893-72-1158,,,McBadden,Heather,707 448-4982,301 Putnam,Vacaville,CA,95688.0,0.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,MC3026,The Psychology of Computer Cooking,UNDECIDED,877.0,,,,,,2014-11-07 10:39:37,,,,,,,,,,,,,,,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,0.0,1000.0,10.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,1001.0,2000.0,12.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,2001.0,4000.0,14.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,4001.0,6000.0,16.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,6001.0,8000.0,18.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,8001.0,10000.0,20.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,10001.0,12000.0,22.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,12001.0,50000.0,24.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,0.0,1000.0,10.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,1001.0,2000.0,12.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,2001.0,4000.0,14.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,4001.0,6000.0,16.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,6001.0,8000.0,18.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,8001.0,10000.0,20.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,10001.0,12000.0,22.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,12001.0,50000.0,24.0,722-51-5454,1.0,75.0,DeFrance,Michel,219 547-9982,3 Balding Pl.,Gary,IN,46403.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,0.0,1000.0,10.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,1001.0,2000.0,12.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,2001.0,4000.0,14.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,4001.0,6000.0,16.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,6001.0,8000.0,18.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,8001.0,10000.0,20.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,10001.0,12000.0,22.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
Customer Discount,8042.0,,,5.0,Bookbeat,679 Carson St.,Portland,OR,89076.0,423LL922,1994-09-14 00:00:00,15.0,ON invoice,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,12001.0,50000.0,24.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,0.0,1000.0,10.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,1001.0,2000.0,12.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,2001.0,4000.0,14.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,4001.0,6000.0,16.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
,7131.0,,,,Doc-U-Mat: Quality Laundry and Books,24-A Avogadro Way,Remulade,WA,98014.0,N914014,1994-09-14 00:00:00,25.0,Net 30,MC3021,The Gourmet Microwave,mod_cook,877.0,2.99,15000.0,24.0,22246.0,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18 00:00:00,6001.0,8000.0,18.0,899-46-2035,2.0,25.0,Ringer,Anne,801 826-0752,67 Seventh Av.,Salt Lake City,UT,84152.0,1.0,Binnet & Hardley,Washington,DC,USA,2.0,ARD36773F,Anabela,R,Domingues,8.0,100.0,1993-01-27 00:00:00,Public Relations Manager,100.0,175.0
