cliente_id,negozio_id,nome,cognome,email,attivo,data_creazione,indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,2006-02-14 22:04:36,5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,2006-02-14 22:04:36,6,1121 Loja Avenue,,California,449,17886,838635286649
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,2006-02-14 22:04:36,7,692 Joliet Street,,Attika,38,83579,448477190408
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,2006-02-14 22:04:36,8,1566 Inegl Manor,,Mandalay,349,53561,705814003527
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,2006-02-14 22:04:36,9,53 Idfu Parkway,,Nantou,361,42399,10655648674
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,2006-02-14 22:04:36,10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,2006-02-14 22:04:36,11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,2006-02-14 22:04:36,12,478 Joliet Way,,Hamilton,200,77948,657282285970
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,2006-02-14 22:04:36,13,613 Korolev Drive,,Masqat,329,45844,380657522649
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,2006-02-14 22:04:36,14,1531 Sal Drive,,Esfahan,162,53628,648856936185
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,2006-02-14 22:04:36,15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,2006-02-14 22:04:36,16,808 Bhopal Manor,,Haryana,582,10672,465887807014
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,2006-02-14 22:04:36,17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,2006-02-14 22:04:36,18,770 Bydgoszcz Avenue,,California,120,16266,517338314235
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,2006-02-14 22:04:36,19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,2006-02-14 22:04:36,20,360 Toulouse Parkway,,England,495,54308,949312333307
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,2006-02-14 22:04:36,21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,2006-02-14 22:04:36,22,320 Brest Avenue,,Kaduna,252,43331,747791594069
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,2006-02-14 22:04:36,23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,2006-02-14 22:04:36,24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,2006-02-14 22:04:36,25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,2006-02-14 22:04:36,26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,2006-02-14 22:04:36,27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,2006-02-14 22:04:36,28,96 Tafuna Way,,Crdoba,128,99865,934730187245
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,2006-02-14 22:04:36,29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,2006-02-14 22:04:36,30,18 Duisburg Boulevard,,,121,58327,998009777982
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,2006-02-14 22:04:36,31,217 Botshabelo Place,,Southern Mindanao,138,49521,665356572025
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,2006-02-14 22:04:36,32,1425 Shikarpur Manor,,Bihar,346,65599,678220867005
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,2006-02-14 22:04:36,33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,2006-02-14 22:04:36,34,1668 Anpolis Street,,Taipei,316,50199,525255540978
