indirizzo_id,indirizzo,indirizzo2,distretto,città_id,codice_postale,telefono
31,217 Botshabelo Place,,Southern Mindanao,138,49521.0,665356572025
457,535 Ahmadnagar Manor,,Abu Dhabi,3,41136.0,985109775584
532,1427 Tabuk Place,,Florida,101,31342.0,214756839122
563,1059 Yuncheng Avenue,,Vilna,570,47498.0,107092893983
536,166 Jinchang Street,,Buenos Aires,165,86760.0,717566026669
290,1336 Benin City Drive,,Shiga,386,46044.0,341242939532
27,1780 Hino Boulevard,,Liepaja,303,7716.0,902731229323
250,829 Grand Prairie Way,,Paraná,328,6461.0,741070712873
30,18 Duisburg Boulevard,,,121,58327.0,998009777982
243,47 Syktyvkar Lane,,West Java,118,22236.0,63937119031
132,1050 Garden Grove Avenue,,Slaskie,236,4999.0,973047364353
489,1297 Alvorada Parkway,,Ningxia,587,11839.0,508348602835
7,692 Joliet Street,,Attika,38,83579.0,448477190408
416,1445 Carmen Parkway,,West Java,117,70809.0,598912394463
81,1692 Ede Loop,,São Paulo,30,9223.0,918711376618
87,929 Tallahassee Loop,,Gauteng,497,74671.0,800716535041
17,270 Amroha Parkway,,Osmaniye,384,29610.0,695479687538
411,264 Bhimavaram Manor,,St Thomas,111,54749.0,302526949177
109,454 Nakhon Sawan Boulevard,,Funafuti,173,76383.0,963887147572
450,203 Tambaram Street,,Buenos Aires,161,73942.0,411549550611
386,1368 Maracaíbo Boulevard,,,493,32716.0,934352415130
337,1838 Tabriz Lane,,Dhaka,143,1195.0,38988715447
206,642 Nador Drive,,Maharashtra,77,3924.0,369050085652
380,1519 Santiago de los Caballeros Loop,,East Kasai,348,22025.0,409315295763
4,1411 Lillydale Drive,,QLD,576,,6172235589
23,1417 Lancaster Avenue,,Northern Cape,267,72192.0,272572357893
400,1152 Citrus Heights Manor,,al-Qadarif,15,5239.0,765957414528
462,1485 Bratislava Place,,Illinois,435,83183.0,924663855568
72,57 Arlington Manor,,Madhya Pradesh,475,48960.0,990214419142
241,647 A Coruña (La Coruña) Street,,Chollanam,357,36971.0,792557457753
159,185 Novi Sad Place,,Bern,72,41778.0,904253967161
455,1947 Paarl Way,,Central Java,509,23636.0,834061016202
342,124 al-Manama Way,,Hiroshima,382,52368.0,647899404952
469,1872 Toulon Loop,,OHiggins,428,7939.0,928809465153
506,414 Mandaluyong Street,,Lubelskie,314,16370.0,52709222667
397,614 Pak Kret Street,,Addis Abeba,6,27796.0,47808359842
78,1206 Dos Quebradas Place,,São Paulo,431,20207.0,241832790687
186,533 al-Ayn Boulevard,,California,126,8862.0,662227486184
