payment_id,customer_id,staff_id,rental_id,amount,payment_date,customer_store_id,customer_first_name,customer_last_name,customer_email,customer_active,customer_create_date,customer_address_id,customer_address,customer_address2,customer_district,customer_city_id,customer_postal_code,customer_phone,customer_city,customer_country_id,customer_country,staff_first_name,staff_last_name,staff_email,staff_store_id,staff_active,staff_username,staff_password,staff_address_id,staff_address,staff_address2,staff_district,staff_postal_code,staff_phone,staff_city_id,staff_city,staff_country_id,staff_country,staff_store_manager_staff_id,staff_store_address_id,staff_store_address,staff_store_address2,staff_store_district,staff_store_city_id,staff_store_postal_code,staff_store_phone,staff_store_city,staff_store_country_id,staff_store_country,staff_store_manager_first_name,staff_store_manager_last_name,staff_store_manager_email,staff_store_manager_store_id,staff_store_manager_active,staff_store_manager_username,staff_store_manager_password,staff_store_manager_address_id,staff_store_manager_address,staff_store_manager_address2,staff_store_manager_district,staff_store_manager_postal_code,staff_store_manager_phone,staff_store_manager_city_id,staff_store_manager_city,staff_store_manager_country_id,staff_store_manager_country,customer_store_manager_staff_id,customer_store_address_id,customer_store_address,customer_store_address2,customer_store_district,customer_store_city_id,customer_store_postal_code,customer_store_phone,customer_store_city,customer_store_country_id,customer_store_country,customer_store_manager_first_name,customer_store_manager_last_name,customer_store_manager_email,customer_store_manager_store_id,customer_store_manager_active,customer_store_manager_username,customer_store_manager_password,customer_store_manager_address_id,customer_store_manager_address,customer_store_manager_address2,customer_store_manager_district,customer_store_manager_postal_code,customer_store_manager_phone,customer_store_manager_city_id,customer_store_manager_city,customer_store_manager_country_id,customer_store_manager_country,rental_date,inventory_id,return_date,film_id,store_id,film_title,film_description,film_release_year,film_language,film_original_language_id,film_rental_duration,film_rental_rate,film_length,film_replacement_cost,film_rating
10110,373,2,11512,7.99,2005-08-16 23:51:06,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-08-16 23:51:06,1248,2005-08-26 02:06:06,275,2,EGYPT TENENBAUMS,A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park,2006,English,,3,0.99,85,11.99,PG
10099,373,2,7206,3.99,2005-07-27 09:07:05,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-07-27 09:07:05,3752,2005-07-31 03:13:05,820,2,SONS INTERVIEW,A Taut Character Study of a Explorer And a Mad Cow who must Battle a Hunter in Ancient China,2006,English,,3,2.99,184,11.99,NC-17
10112,373,2,11976,3.99,2005-08-17 17:59:19,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-08-17 17:59:19,498,2005-08-23 14:51:19,111,2,CADDYSHACK JEDI,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,2006,English,,3,0.99,52,17.99,NC-17
10104,373,2,9480,0.99,2005-07-30 23:26:03,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-07-30 23:26:03,597,2005-08-04 21:18:03,130,2,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,2006,English,,7,0.99,110,24.99,PG-13
4254,156,2,13530,0.99,2005-08-20 03:12:43,1,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1,2006-02-14 22:04:36,160,1367 Yantai Manor,,Ondo & Ekiti,381,21294,889538496300,Ondo,69,Nigeria,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-08-20 03:12:43,597,2005-08-23 09:01:43,130,2,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,2006,English,,7,0.99,110,24.99,PG-13
14807,552,2,2320,0.99,2005-06-18 09:24:50,2,HUGH,WALDROP,HUGH.WALDROP@sakilacustomer.org,1,2006-02-14 22:04:37,558,904 Clarksville Drive,,Zhejiang,193,52234,955349440539,Haining,23,China,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2005-06-18 09:24:50,597,2005-06-24 07:59:50,130,2,CELEBRITY HORN,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,2006,English,,7,0.99,110,24.99,PG-13
10111,373,2,11663,3.99,2005-08-17 05:30:19,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-08-17 05:30:19,3798,2005-08-25 08:14:19,832,1,SPLASH GUMP,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,2006,English,,5,0.99,175,16.99,PG
10109,373,2,11066,7.99,2005-08-02 06:58:32,1,LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,1,2006-02-14 22:04:37,378,1191 Tandil Drive,,Southern Tagalog,523,6362,45554316010,Tanauan,75,Philippines,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2005-08-02 06:58:32,4213,2005-08-10 01:27:32,916,1,TURN STAR,A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans,2006,English,,3,2.99,80,10.99,G
7369,273,2,1391,6.99,2005-06-15 16:11:21,2,PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,1,2006-02-14 22:04:37,278,144 South Hill Loop,,Guanajuato,445,2012,45387294817,Salamanca,60,Mexico,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2005-06-15 16:11:21,4213,2005-06-22 21:32:21,916,1,TURN STAR,A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans,2006,English,,3,2.99,80,10.99,G
6443,239,1,636,6.99,2005-05-28 17:47:58,2,MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,1,2006-02-14 22:04:36,243,47 Syktyvkar Lane,,West Java,118,22236,63937119031,Ciomas,45,Indonesia,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,1,1,47 MySakila Drive,,Alberta,300,,,Lethbridge,20,Canada,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,1,1,Mike,8cb2237d0679ca88db6464eac60da96345513964,3,23 Workhaven Lane,,Alberta,,14033335568,300,Lethbridge,20,Canada,2,2,28 MySQL Boulevard,,QLD,576,,,Woodridge,8,Australia,Jon,Stephens,Jon.Stephens@sakilastaff.com,2,1,Jon,,4,1411 Lillydale Drive,,QLD,,6172235589,576,Woodridge,8,Australia,2005-05-28 17:47:58,4213,2005-06-04 16:32:58,916,1,TURN STAR,A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans,2006,English,,3,2.99,80,10.99,G
