address_id,address,address2,district,postal_code,phone,city_id,city,country_id,country
1,47 MySakila Drive,None,Alberta,,,300,Lethbridge,20,Canada
2,28 MySQL Boulevard,None,QLD,,,576,Woodridge,8,Australia
3,23 Workhaven Lane,None,Alberta,,14033335568,300,Lethbridge,20,Canada
4,1411 Lillydale Drive,None,QLD,,6172235589,576,Woodridge,8,Australia
5,1913 Hanoi Way,,Nagasaki,35200,28303384290,463,Sasebo,50,Japan
6,1121 Loja Avenue,,California,17886,838635286649,449,San Bernardino,103,United States
7,692 Joliet Street,,Attika,83579,448477190408,38,Athenai,39,Greece
8,1566 Inegl Manor,,Mandalay,53561,705814003527,349,Myingyan,64,Myanmar
9,53 Idfu Parkway,,Nantou,42399,10655648674,361,Nantou,92,Taiwan
10,1795 Santiago de Compostela Way,,Texas,18743,860452626434,295,Laredo,103,United States
11,900 Santiago de Compostela Parkway,,Central Serbia,93896,716571220373,280,Kragujevac,108,Yugoslavia
12,478 Joliet Way,,Hamilton,77948,657282285970,200,Hamilton,68,New Zealand
13,613 Korolev Drive,,Masqat,45844,380657522649,329,Masqat,71,Oman
14,1531 Sal Drive,,Esfahan,53628,648856936185,162,Esfahan,46,Iran
15,1542 Tarlac Parkway,,Kanagawa,1027,635297277345,440,Sagamihara,50,Japan
16,808 Bhopal Manor,,Haryana,10672,465887807014,582,Yamuna Nagar,44,India
17,270 Amroha Parkway,,Osmaniye,29610,695479687538,384,Osmaniye,97,Turkey
18,770 Bydgoszcz Avenue,,California,16266,517338314235,120,Citrus Heights,103,United States
19,419 Iligan Lane,,Madhya Pradesh,72878,990911107354,76,Bhopal,44,India
20,360 Toulouse Parkway,,England,54308,949312333307,495,Southend-on-Sea,102,United Kingdom
21,270 Toulon Boulevard,,Kalmykia,81766,407752414682,156,Elista,80,Russian Federation
22,320 Brest Avenue,,Kaduna,43331,747791594069,252,Kaduna,69,Nigeria
23,1417 Lancaster Avenue,,Northern Cape,72192,272572357893,267,Kimberley,85,South Africa
24,1688 Okara Way,,Nothwest Border Prov,21954,144453869132,327,Mardan,72,Pakistan
25,262 A Corua (La Corua) Parkway,,Dhaka,34418,892775750063,525,Tangail,12,Bangladesh
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,37551,161968374323,443,Sal,62,Morocco
27,1780 Hino Boulevard,,Liepaja,7716,902731229323,303,Liepaja,54,Latvia
28,96 Tafuna Way,,Crdoba,99865,934730187245,128,Crdoba,6,Argentina
29,934 San Felipe de Puerto Plata Street,,Sind,99780,196495945706,472,Shikarpur,72,Pakistan
30,18 Duisburg Boulevard,,,58327,998009777982,121,Citt del Vaticano,41,Holy See (Vatican City State)
31,217 Botshabelo Place,,Southern Mindanao,49521,665356572025,138,Davao,75,Philippines
32,1425 Shikarpur Manor,,Bihar,65599,678220867005,346,Munger (Monghyr),44,India
33,786 Aurora Avenue,,Yamaguchi,65750,18461860151,474,Shimonoseki,50,Japan
34,1668 Anpolis Street,,Taipei,50199,525255540978,316,Lungtan,92,Taiwan
35,33 Gorontalo Way,,West Bengali,30348,745994947458,257,Kamarhati,44,India
36,176 Mandaluyong Place,,Uttar Pradesh,65213,627705991774,239,Jhansi,44,India
37,127 Purnea (Purnia) Manor,,Piemonte,79388,911872220378,17,Alessandria,49,Italy
38,61 Tama Street,,Okayama,94065,708403338270,284,Kurashiki,50,Japan
39,391 Callao Drive,,Midi-Pyrnes,34021,440512153169,544,Toulouse,34,France
40,334 Munger (Monghyr) Lane,,Markazi,38145,481183273622,31,Arak,46,Iran
41,1440 Fukuyama Loop,,Henan,47929,912257250465,362,Nanyang,23,China
42,269 Cam Ranh Parkway,,Chisinau,34689,489783829737,115,Chisinau,61,Moldova
43,306 Antofagasta Place,,Esprito Santo,3989,378318851631,569,Vila Velha,15,Brazil
44,671 Graz Street,,Oriental,94399,680768868518,353,Nador,62,Morocco
45,42 Brindisi Place,,Yerevan,16744,42384721397,586,Yerevan,7,Armenia
46,1632 Bislig Avenue,,Nonthaburi,61117,471675840679,394,Pak Kret,94,Thailand
47,1447 Imus Way,,Tahiti,48942,539758313890,167,Faaa,36,French Polynesia
48,1998 Halifax Drive,,Lipetsk,76022,177727722820,308,Lipetsk,80,Russian Federation
49,1718 Valencia Street,,Antofagasta,37359,675292816413,27,Antofagasta,22,Chile
50,46 Pjatigorsk Lane,,Moscow (City),23616,262076994845,343,Moscow,80,Russian Federation
51,686 Garland Manor,,Cear,52535,69493378813,247,Juazeiro do Norte,15,Brazil
52,909 Garland Manor,,Tatarstan,69367,705800322606,367,Niznekamsk,80,Russian Federation
53,725 Isesaki Place,,Mekka,74428,876295323994,237,Jedda,82,Saudi Arabia
54,115 Hidalgo Parkway,,Khartum,80168,307703950263,379,Omdurman,89,Sudan
55,1135 Izumisano Parkway,,California,48150,171822533480,171,Fontana,103,United States
56,939 Probolinggo Loop,,Galicia,4166,680428310138,1,A Corua (La Corua),87,Spain
57,17 Kabul Boulevard,,Chiba,38594,697760867968,355,Nagareyama,50,Japan
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,48980,920811325222,227,Iwakuni,50,Japan
59,1697 Kowloon and New Kowloon Loop,,Moskova,57807,499352017190,49,Balaiha,80,Russian Federation
60,1668 Saint Louis Place,,Tahiti,39072,347487831378,397,Papeete,36,French Polynesia
61,943 Tokat Street,,Vaduz,45428,889318963672,560,Vaduz,55,Liechtenstein
62,1114 Liepaja Street,,Sarawak,69226,212869228936,282,Kuching,59,Malaysia
63,1213 Ranchi Parkway,,Karnataka,94352,800024380485,350,Mysore,44,India
64,81 Hodeida Way,,Rajasthan,55561,250767749542,231,Jaipur,44,India
65,915 Ponce Place,,Basel-Stadt,83980,1395251317,56,Basel,91,Switzerland
66,1717 Guadalajara Lane,,Missouri,85505,914090181665,441,Saint Louis,103,United States
67,1214 Hanoi Way,,Nebraska,67055,491001136577,306,Lincoln,103,United States
68,1966 Amroha Avenue,,Sichuan,70385,333489324603,139,Daxian,23,China
69,698 Otsu Street,,Cayenne,71110,409983924481,105,Cayenne,35,French Guiana
70,1150 Kimchon Manor,,Skne ln,96109,663449333709,321,Malm,90,Sweden
71,1586 Guaruj Place,,Hunan,5135,947233365992,579,Xiangtan,23,China
72,57 Arlington Manor,,Madhya Pradesh,48960,990214419142,475,Shivapuri,44,India
73,1031 Daugavpils Parkway,,Bchar,59025,107137400143,63,Bchar,2,Algeria
74,1124 Buenaventura Drive,,Mekka,6856,407733804223,13,al-Hawiya,82,Saudi Arabia
75,492 Cam Ranh Street,,Eastern Visayas,50805,565018274456,61,Baybay,75,Philippines
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,75444,255800440636,517,Taguig,75,Philippines
